username,lemmatized_text,extract_hashtags,labels
GathuaGachora,bibilia uliweka chini katiba pia? need our constitution back #stoppolicebrutality #maandamanomondays #maandamanothursdays,stoppolicebrutality MaandamanoMondays MaandamanoThursdays,"[0.3, 0.4, 0.3]"
Reptile_ke,"people united shall never defeated! amount force goon-verment whether through use teargas, water cannons, batons bullets stop kenyans from demanding restoration subsidies fuel,electricity,food etc ease burden wananchi!✊🇰🇪 #maandamanothursdays",MaandamanoThursdays,"[0.3, 0.4, 0.3]"
Hezzy81651768,hii sasa haibambi. yenye ______________ inabamba hii #maandamanomondays #maandamanothursdays,MaandamanoMondays MaandamanoThursdays,"[0.3, 0.4, 0.3]"
JereShariff,"revolutions started poor, ordinary people not some rich billionaires who live porch estates. #maandamanothursdays",MaandamanoThursdays,"[0.3, 0.4, 0.3]"
KathumoMumo,smh one talking about two dead police men stoned death pipeline ...this stop #raila #maandamanothursdays #maandamanomondays,raila MaandamanoThursdays MaandamanoMondays,"[0.8, 0.09999999999999995, 0.1]"
RealChalz19,"#maandamanothursday #maandamanomondays #railaodinga #pipeline #outeringroad….. you don’t gerrit, then……………… it!",MaandamanoThursday MaandamanoMondays RailaOdinga pipeline OuteringRoad,"[0.3, 0.4, 0.3]"
Ke_Dictionary,not. there try. #kenyandictionary #dailyquotes #quotes #kenyanquotes #maandamanothursdays,kenyandictionary dailyquotes quotes kenyanquotes MaandamanoThursdays,"[0.3, 0.4, 0.3]"
Reptile_ke,fellow kenyans &amp; helped get this illegitimate govt power corrupt kickbacks later on...now they're sanitizing police brutality advising this government arrest baba when time comes you shall pack go!! #maandamanothursdays,MaandamanoThursdays,"[0.5, 0.09999999999999998, 0.4]"
edwinotis123,#maandamanothursdays stop attacks: march 2023 remains darkest month kenyan media since clamour multiparty democracy. mck far documented cases attacks local foreign journalists hands state non-state actors,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
muzembialf,"uda regime knows very well that they allow demonstrations, nairobi attract mamoth, peaceful protest year. raila never gives up, things get messy #nairobi #railaodinga",Nairobi RailaOdinga,"[0.2, 0.10000000000000009, 0.7]"
Peterz_Model,they learn hard way. #theoutside pwani university photoshop #raila kisumu #maandamanothursdays,theoutside Raila MaandamanoThursdays,"[0.3, 0.4, 0.3]"
AbalaKinyuaa,"kdd 233p kbb 233b, what happened occupants that car unnecessary brutality how can anyone calling themselves 'law enforcement' that unarmed individuals? #maandamano #maandamanothursday #railaodinga",Maandamano MaandamanoThursday RailaOdinga,"[0.3, 0.4, 0.3]"
owen_toyota,it's now clear that #maandamanothursdays #maandamanomondays causing more harm than good both parties. whoever wants take liability idk frankly idc that's position. mean what that saw pipeline. what's up! either side claiming anarchy! tumefumble 1/3,MaandamanoThursdays MaandamanoMondays,"[0.2, 0.10000000000000009, 0.7]"
Osunga,kenya camera assassination attempt raila odinga attacks accredited media… #maandamanomondays #kenya #ap,MaandamanoMondays Kenya AP,"[0.3, 0.4, 0.3]"
VincentHarward,returning tear-gas owners only kenya 😅😅#maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
kipkoech5867,though bravo! ✊💪🖤#jdd233p #citizentvnews #nairobi #railaodinga #boysplanet,JDD233P Citizentvnews Nairobi RailaOdinga BOYSPLANET,"[0.3, 0.4, 0.3]"
peterju59314052,"comments, kenyans completely destroyed this mchawi raila journalist his cheap propaganda. police endelea kutwanga hawa githeri raila journalist kabisa. #maandamanothursdays",MaandamanoThursdays,"[0.3, 0.4, 0.3]"
Ke_Dictionary,your path you decide. #kenyandictionary #dailyquotes #quotes #kenyanquotes #maandamanothursdays,kenyandictionary dailyquotes quotes kenyanquotes MaandamanoThursdays,"[0.3, 0.4, 0.3]"
judithkanaitha,more than journalists badly injured embakasi #maandamanothursdays,MaandamanoThursdays,"[0.8, 0.09999999999999995, 0.1]"
DNdunguMaina,"people united shall never defeated! amount force goon-verment whether through use teargas, water cannons, batons bullets stop kenyans from demanding restoration subsidies fuel,electricity,food etc ease burden wananchi!✊🇰🇪 #maandamanothursdays",MaandamanoThursdays,"[0.3, 0.4, 0.3]"
carlosabich1,let show solidarity comrades monday postponing our #maandamanomondays grief them across nation inclusive all universities,MaandamanoMondays,"[0.2, 0.10000000000000009, 0.7]"
GSHARP36893214,"wow, sounds like rigathi gachagua underestimating raila odinga his supporters. perhaps it's time new approach from deputy president his team. #maandamanomondays click profile plz",MaandamanoMondays,"[0.2, 0.10000000000000009, 0.7]"
MauMauHistorian,"you cannot defend kenyans from raila his goons, please resign! hii nini surely? suffer before electing you, suffer when electing you suffer after electing you? seriously? #railaodinga #sifuna #citizentv #moseskuria #uhuru",RailaOdinga Sifuna CitizenTV MosesKuria Uhuru,"[0.3, 0.4, 0.3]"
geeradioke,"pleading authorities arrest raila odinga perpetually pushing kenya brink civil war illegal destructive protests,"" stated. #railaodinga #maandamanothursdays #ruto",RailaOdinga MaandamanoThursdays Ruto,"[0.8, 0.09999999999999995, 0.1]"
humblecriminal,"unaambia dem akutumie pic anatuma picha 100,fai kwani unataka nkutengenezee album #maandamanothursdays",MaandamanoThursdays,"[0.3, 0.4, 0.3]"
TeleMoir,innocent civilians throwing back tear gas police outering road. these people believe #raila video courtesy #maandamanothursdays,Raila MaandamanoThursdays,"[0.2, 0.10000000000000009, 0.7]"
GideonKibicho1,bee centre kayole war zone. watu wamechomewa hadi magari. #maandamanothursday #raila #railaodinga edwin sifuna imara daima gatundu runda jacaranda citizen ruto,MaandamanoThursday Raila RailaOdinga,"[0.5, 0.09999999999999998, 0.4]"
bigmitchjatelo,#maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
CasparApiyo,"sailing, sugar, cooking oil just mention few. famine drought; interior only gives empty threats bandits beats innocent citizens holding peaceful possessions..shame!shame! shame! #rutomustgo #raila #maandamanothursdays",RutoMustGo Raila MaandamanoThursdays,"[0.2, 0.10000000000000009, 0.7]"
Peterz_Model,"fool all time. fighting defend white mfucker. foreigner. kesho mtoto yake anataka bursary hapati, sababu zimejenga bank account foreigner. fuo sana! #theoutside #maandamanothursdays pwani university photoshop #blazespaces #raila kisumu outering road",theoutside MaandamanoThursdays BLAZESpaces Raila,"[0.8, 0.09999999999999995, 0.1]"
carlosabich1,we're not worried. same people who helped paint siaya kisumu yellow same people who set office fire ablaze #maandamanothursday #maandamanomondays,MaandamanoThursday MaandamanoMondays,"[0.5, 0.09999999999999998, 0.4]"
Tasha_ke746,last one &amp; 🙌♥️ thika road kisumu bandits #maandamanothursdays malema #raila pwani university babu owino eldoret r.i.p,MaandamanoThursdays Raila,"[0.2, 0.10000000000000009, 0.7]"
magwaz3,assassins usually professional this poorest. this vehicle kdd 233p altered kbb 233b. &amp; altered bring confusion. action remains ntv &amp; citizen journalist hurt #azimo #railaodinga #maandamano pumwani university,Azimo RailaOdinga Maandamano,"[0.8, 0.09999999999999995, 0.1]"
JereShariff,"raila odinga stop taking his protests residential areas where ordinary people who live from hand mouth live. president ruto does not live slums, slum dwellers cannot lower cost living its those government. take protests them. #maandamanothursdays",MaandamanoThursdays,"[0.3, 0.4, 0.3]"
Amollo10,tem uru umulo baba unee kaka kenya diny pier paka #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
edwinotis123,#maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
punctualhades,#maandamanothursdays mmmm,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
Osunga,kenya korrupschenn worth brand new mercedes benz being conducted per day. analysis: #maandamanomondays #kenya #ap,MaandamanoMondays Kenya AP,"[0.3, 0.4, 0.3]"
mohadaniels01,place your order today. free delivery within nairobi cbd call 0112800325 kdd 233p pwani university vera stamford bridge thugs tassia #quickmart57 fullstop edwin sifuna mwepu #maandamanothursdays #raila kisumu,Quickmart57 MaandamanoThursdays Raila,"[0.2, 0.10000000000000009, 0.7]"
NicholasOchanjo,uki guza mfuko ukiwa bash upate hauna simu😂😂 #vera #maandamanothursdays #amberay,vera MaandamanoThursdays amberay,"[0.3, 0.4, 0.3]"
geeradioke,kisumu county administration assessing its losses after goons raided destroyed jaramogi oginga odinga teaching referral hospital's recently opened multimillion-dollar ultra-modern funeral home. #kisumu #maandamanothursdays #railaodinga,Kisumu MaandamanoThursdays RailaOdinga,"[0.3, 0.4, 0.3]"
Roy_koech7,here found him eeheee #maandamanothursdays #raila kdd 233p #tonight #kdd233p,MaandamanoThursdays Raila Tonight KDD233P,"[0.3, 0.4, 0.3]"
charleen_ruto,let's settle this hustler nation. like ♥️for kimani ichungwa retweet🔁 babu owino #maandamanothursdays,MaandamanoThursdays,"[0.2, 0.10000000000000009, 0.7]"
ManderaBlogger,supermarket owner tears after his business raided products stolen protesters kisumu. #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
CosnameTv1,"william ruto says! ""our heartfelt condolences families &amp; friends those who lost loved ones naivasha accident involving pwani university bus..."" #nairobi #jklive #cosname #maandamanothursdays #raila #ruto",Nairobi JKLive cosname MaandamanoThursdays Raila Ruto,"[0.2, 0.10000000000000009, 0.7]"
Reptile_ke,here video #maandamanothursdays,MaandamanoThursdays,"[0.2, 0.10000000000000009, 0.7]"
bill_mwendwa,economic terrorists!! point. #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
AnkoSamwel,oya gari kdd 233p ama kbb 233b #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
FlavioKim_,mkipewa security mnateta mkikosa kupewa security mnateta mkipewa chance maandamano mnateta haswa nini mwataka jameni 🤷🏾‍♂️ #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
itsNjoguGichuru,tomorrow another day gachietha post how workaholic he's become. #kdd233p #edwinsifuna #pwaniuniversity #tassia #raila #maandamanothursdays,Kdd233p edwinsifuna PwaniUniversity Tassia Raila MaandamanoThursdays,"[0.2, 0.10000000000000009, 0.7]"
vinnymongare,ngoja monday next week prepare your next post #maandamanomondays,MaandamanoMondays,"[0.3, 0.4, 0.3]"
ManderaBlogger,"""ruto megalomaniac psychopath.."" tweet comes haunt him five years later. that's exactly what william ruto stopped #maandamanothursdays",MaandamanoThursdays,"[0.3, 0.4, 0.3]"
Farah_Naman,journalism not crime: journalists attacked wounded during demos via #maandamanothursdays #raila,MaandamanoThursdays Raila,"[0.3, 0.4, 0.3]"
Larrynganga1,journalism not crime: journalists attacked wounded during demos via #maandamanothursdays #raila,MaandamanoThursdays Raila,"[0.3, 0.4, 0.3]"
SwalaNyetiKe,journalism not crime: journalists attacked wounded during demos #maandamanothursdays #raila,MaandamanoThursdays Raila,"[0.3, 0.4, 0.3]"
Tasha_ke746,kama tumepewa pesa bure patel two games only thika road kisumu bandits #maandamanothursdays malema #raila pwani university babu owino eldoret r.i.p,MaandamanoThursdays Raila,"[0.2, 0.10000000000000009, 0.7]"
Reptile_ke,looks like illegitimate regime about learn powerful lesson: never underestimate strength people! #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
HarryGodfirst,#kenya #maandamanothursdays,Kenya MaandamanoThursdays,"[0.3, 0.4, 0.3]"
TheeHub_KE,sad. r.i.p pwani university. #maandamanothursdays #dpgachaguaspeaks,MaandamanoThursdays DPGachaguaSpeaks,"[0.8, 0.09999999999999995, 0.1]"
TeleMoir,police ones who put nairobi city county lock down started violence that led looting. this difficult see? #maandamanothursdays,MaandamanoThursdays,"[0.8, 0.09999999999999995, 0.1]"
Evanolangat1,your people looting spree name #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
CosnameTv1,"wise know what next! not difference between events today, what lead drop cost living. some farmers planted now weeding waiting harvest sell them high prices #maandamanothursdays #raila #jklive #cosname #nairobi",MaandamanoThursdays Raila JKLive cosname Nairobi,"[0.3, 0.4, 0.3]"
Tasha_ke746,baseball &amp; ice hockey thika road kisumu bandits #maandamanothursdays malema #raila pwani university babu owino eldoret r.i.p,MaandamanoThursdays Raila,"[0.2, 0.10000000000000009, 0.7]"
Maxxuull,#maandamanothursdays nikubaya..... saidia........,maandamanothursdays,"[0.3, 0.4, 0.3]"
johnmark254,weeh ........ #maandamanothursdays #maandamanomondays baba weka hoi kitu kila siku #raila,MaandamanoThursdays MaandamanoMondays Raila,"[0.3, 0.4, 0.3]"
KenyaForKenyans,you your hand thingy instead being preposterous twitter. #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
TeleMoir,"dismus mokua says raila said high cost living external variables that when did get damascus moment. raila simply telling ruto, musalia rigathi what promised once they get into office.#maandamanothursdays",MaandamanoThursdays,"[0.3, 0.4, 0.3]"
a_gallgallo,terrorist hired govt finish raila! #maandamanothursdays kdd 233p tassia,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
ochieng_philip,oya seven bullets attempt tantamount 7days week demonstrations starting next week? #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
Roy_koech7,#maandamanothursdays #tonight #raila #kdd kdd 233p #photoshoot,MaandamanoThursdays Tonight Raila KDD photoshoot,"[0.2, 0.10000000000000009, 0.7]"
Tasha_ke746,ice hockey thika road kisumu bandits #maandamanothursdays malema #raila pwani university babu owino eldoret r.i.p,MaandamanoThursdays Raila,"[0.2, 0.10000000000000009, 0.7]"
Argertta,#maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
CosnameTv1,"updates! updates from pwani university' bus accident naivasha kindly note students released wenye walikuwa kwa other bus,they taken hospital kuangaliwa tuu wasikuwe traumatized! #maandamanothursdays #nairobi #raila #jklive #cosname",MaandamanoThursdays Nairobi Raila JKLive cosname,"[0.3, 0.4, 0.3]"
TheeHub_KE,"its sad that great lives, young promising lose there lives. pwani university r.i.p #maandamanothursdays #dpgachaguaspeaks citizen",MaandamanoThursdays DPGachaguaSpeaks,"[0.5, 0.09999999999999998, 0.4]"
Nyagairungu1,president want now. why rush amidst these #maandamanothursdays peaceful environment first.,MaandamanoThursdays,"[0.5, 0.09999999999999998, 0.4]"
AslayIdris,#maandamanothursdays arest raila this man getting too deep our nerves,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
Tasha_ke746,baseball thika road kisumu bandits #maandamanothursdays malema #raila pwani university babu owino eldoret r.i.p,MaandamanoThursdays Raila,"[0.2, 0.10000000000000009, 0.7]"
GideonKibicho1,"kuna mtu ameambia #raila truly loves this country, taking bullet nothing #maandamano #railaodinga ruto citizen imara daima edwin sifuna #maandamanothursday pwani university gatundu fullstop",Raila Maandamano RailaOdinga MaandamanoThursday,"[0.2, 0.10000000000000009, 0.7]"
peterju59314052,comments this tweet says everything. kenyans refused mchawi raila shenanigans. #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
SlapNol,#maandamanothursdays kayole donholm,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
martine_caleb,#maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
kevoprezzo,#maandamanothursdays think media give government media blackout protest how they've brutalized journalists today. tassia outering,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
MapesaOjiwa,come mya attention that kalenjin most tribal tribe kenya!especially twitter anyone observed same thing #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
EveSpark,"please stop protests. please stop protests. crying disabled members society, pregnant moms, elderly people, children who cannot run easily defend themselves. #railaodinga #williamruto.",RailaOdinga WilliamRuto,"[0.8, 0.09999999999999995, 0.1]"
Reptile_ke,it's 'goon-verment'. sounds funny not funny. #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
edwinotis123,#maandamanothursdays democracy dies darkness. condenm act police directed journalists,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
TerrChuLei,raila minions: after realizing that govt unmoved matters #maandamanothursdays they're now out there claiming that it's inthe interest ruto tat handshake shuld happen. tunawaambia; ng'o! ng'o ng'o,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
DiscoveriesAct,"this car belongs mathare north lawmaker allied azimio. we're all curious how why journalists being transported inside this car. people don't listen when tell them that media part anarchy script. alai kayole, #maandamanothursdays",MaandamanoThursdays,"[0.3, 0.4, 0.3]"
Silent_Singer21,let's 1000 today i'll follow back immediately...retweet fast✔💯 #maandamanothursdays #raila /r.i.p/pwani university/kdd 233p/babu owino/vera,MaandamanoThursdays Raila,"[0.2, 0.10000000000000009, 0.7]"
martine_caleb,#maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
GideonKibicho1,"kuna mtu ameambia #raila truly loves this country, taking bullet nothing #maandamano #railaodinga ruto citizen imara daima edwin sifuna",Raila Maandamano RailaOdinga,"[0.2, 0.10000000000000009, 0.7]"
bitcoineriey,"bora msifanyie kitu sugoi prince, rest mjipende. #maandamanomondays",MaandamanoMondays,"[0.3, 0.4, 0.3]"
OgolaSirikal,#maandamanothursdays this bold brave.,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
Mxi92478176,breaking news h.e raila odinga currently beging runda/karen well wishers contribute can night meal. after long day demonstrating without taking any meal. his mansion karen edwin sifuna vera #maandamanomondays,MaandamanoMondays,"[0.2, 0.10000000000000009, 0.7]"
MohamedBamursal,"poor kenyans blindfolded join #maandamanothursdays footing from place place yet masters their vehicles draw huge salaries from national coffers, they lead example donate their earnings resign else they let kenyans work earn living.",MaandamanoThursdays,"[0.3, 0.4, 0.3]"
KenyasTweep,mkiambiwa it's not about cost living mnajam. wajinga nyinyi. pwani university #maandamanothursdays #maandamanothursday #maandamanomondays raila odinga pipeline william ruto,MaandamanoThursdays MaandamanoThursday MaandamanoMondays,"[0.3, 0.4, 0.3]"
BeingCharlie,100% horrific #maandamano #maandamanothursdays #maandamanomondays #costoflivingcrisis,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,"[0.3, 0.4, 0.3]"
CallebMeshack,"matter side you in, body happy about this enough enough #maandamanothursdays",MaandamanoThursdays,"[0.2, 0.10000000000000009, 0.7]"
KWC_Congress,it's 'goon-verment'. sounds funny not funny. #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
lord_tilla,cop goon hired state? #maandamanothursdays #rhonairobi #raila,MaandamanoThursdays RHONairobi Raila,"[0.3, 0.4, 0.3]"
DjGhost254,what journalists expecting when they went scene....wangejipin security tosha ama walidhani camera itasimamisha teargas. #maandamanothursdays #raila,MaandamanoThursdays Raila,"[0.3, 0.4, 0.3]"
Jeshi_LaBABA,head on!!! power people #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
CrazyMaxxy,goon-verment says all #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
Juliohwachirah,mambo iko hii kenya mingi #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
tipsy_collins,"female accuses you bruv, you fucked. you fucked bad. guilty nah, you'll damned proving innocence. #maandamanothursdays",MaandamanoThursdays,"[0.8, 0.09999999999999995, 0.1]"
irenetindi,"there elders religious leaders this country who can bring two premier together dialogue? children, women, aged, pwds hurting. god help kenya. restore sanity. #maandamanothursdays",MaandamanoThursdays,"[0.5, 0.09999999999999998, 0.4]"
BeingCharlie,scenes from uganda played nairobi. happened kizza besigelye uganda today happened raila odinga kenya #maandamano #maandamanothursdays #maandamanomondays #costoflivingcrisis,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,"[0.3, 0.4, 0.3]"
Reptile_ke,biblia iliwekwa chini alafu shetani akachukua usukani sad day kenya. #maandamanothursdays,MaandamanoThursdays,"[0.8, 0.09999999999999995, 0.1]"
BlaqAnarchist,"gava not back down. from his successful tour europe supportive statements from west this week, seems clear convinced world opinion that raila treated terrorist. dialogue. handcheque.😅#maandamanothursdays #raila",MaandamanoThursdays Raila,"[0.2, 0.10000000000000009, 0.7]"
Reptile_ke,"you’re calling end protests, not calling out police brutality, not calling protection human rights, not calling end intimidation all you’re asking continuation oppression #maandamanothursdays",MaandamanoThursdays,"[0.3, 0.4, 0.3]"
BrianKosgeiii,"ruto hio kura nilikupea august ilikua kwanza mwisho,huwezi hubiri maji wewe unatumia pombe. mahn you promised lot police brutality,but instead you turned out face police brutality. #maandamanothursdays rails odinga ruto gachagua pwani university",MaandamanoThursdays,"[0.3, 0.4, 0.3]"
EveSpark,"please stop protests. please stop protests. crying disabled members society, pregnant moms, elderly people, children who cannot run easily defend themselves. #railaodinga",RailaOdinga,"[0.8, 0.09999999999999995, 0.1]"
EveSpark,"please stop protests. please stop protests. crying disabled members society, pregnant moms, elderly people, children who cannot run easily defend themselves. #railaodinga",RailaOdinga,"[0.8, 0.09999999999999995, 0.1]"
vinnymongare,this man paid kill peaceful demonstrators #maandamanothursdays tassia photoshop,MaandamanoThursdays,"[0.5, 0.09999999999999998, 0.4]"
ZakayoGichuhi,this guy compensated after infamous handshake between uhuru kenyatta.. ama aliserve purpose yake forgotten many after all dust settles #raila #maandamanothursdays,Raila MaandamanoThursdays,"[0.3, 0.4, 0.3]"
BeingCharlie,living dangerous times #maandamano #maandamanothursdays #maandamanomondays #costoflivingcrisis,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,"[0.3, 0.4, 0.3]"
_KAISERTONIZZ,"raila odinga: car hit live bullets, each aimed random user: blame officer who missed target, jailed life! kenyans surely.😂😂 #maandamanothursdays",MaandamanoThursdays,"[0.3, 0.4, 0.3]"
BeingCharlie,mothers 👏🏾👏🏾👏🏾👏🏾🇰🇪 #maandamano #maandamanothursdays #maandamanomondays #costoflivingcrisis,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,"[0.3, 0.4, 0.3]"
Roy_koech7,"kdd 233p media accomplishes treason ,,,they teargassed themselves #maandamanothursdays #raila",MaandamanoThursdays Raila,"[0.2, 0.10000000000000009, 0.7]"
BeingCharlie,rigathi gachagua #maandamano #maandamanothursdays #maandamanomondays #costoflivingcrisis,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,"[0.3, 0.4, 0.3]"
BeingCharlie,sad #maandamano #maandamanothursdays #maandamanomondays #costoflivingcrisis,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,"[0.8, 0.09999999999999995, 0.1]"
HajjAbdiwahid,stand solidarity baba. they better kill 15m first. #maandamanothursdays,MaandamanoThursdays,"[0.5, 0.09999999999999998, 0.4]"
BeingCharlie,following rigathi gachagua orders letter. expect nothing better #maandamano #maandamanothursdays #maandamanomondays #costoflivingcrisis,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis,"[0.2, 0.10000000000000009, 0.7]"
bonifacemwangi,kenya police work. protests always begin peacefully then show violence.a teargas grenade shot directly person can kill them. shocks completely stops heart. killer police force! #maandamanothursdays,MaandamanoThursdays,"[0.6, 0.10000000000000003, 0.3]"
RecordTVKenya,altered number plate? why? this clearly seem same vehicle. one allegedly under attack number plate awfully altered from kdd 233p kbb 233b dividing into #maandamanothursdays,MaandamanoThursdays,"[0.8, 0.09999999999999995, 0.1]"
billafriking,"don't know what this is, those journalists badly hurt! kdd 233p #maandamanothursdays #maandamano #demonstrations #railaodinga #azimio",MaandamanoThursdays Maandamano Demonstrations RailaOdinga azimio,"[0.6, 0.10000000000000003, 0.3]"
lalita_kip,voted you lead this nation. one influence you dialogue/ handshake neither international influence #maandamanothursdays #raila #pipeline,MaandamanoThursdays Raila pipeline,"[0.3, 0.4, 0.3]"
BeingCharlie,regrettable scenes witnessed today. rogue police thugs &amp; looters affront press #maandamano #maandamanothursdays #maandamanomondays #costoflivingcrisis #daybreak #wayforward,Maandamano MaandamanoThursdays MaandamanoMondays CostOfLivingCrisis Daybreak WayForward,"[0.8, 0.09999999999999995, 0.1]"
kaddy76006924,sasa hata maiti mnaiba #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
Mutwiried,"""everything government doing right now focused next election""~khelef khalifa #maandamanothursdays #maandamano",MaandamanoThursdays maandamano,"[0.3, 0.4, 0.3]"
_pablo254,jakom rethink how conduct this #maandamanothursdays juu victims mazee wanasuffer.,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
TradearlNewsSvc,azimio protesters kisumu vandalize loot newly opened kwee funeral home jaramogi oginga odinga teaching referral hospital. governor nyong'o condemns attack calls perpetrators apprehended. #maandamanothursdays #tradearlnews,MaandamanoThursdays TradearlNews,"[0.3, 0.4, 0.3]"
fokango,"you’re calling end protests, not calling out police brutality, not calling protection human rights, not calling end intimidation all you’re asking continuation oppression #maandamanothursdays",MaandamanoThursdays,"[0.3, 0.4, 0.3]"
Kilemi_Andrine,hii nayo imeenda 😂😂😂 #maandamanothursdays #nairobi,MaandamanoThursdays Nairobi,"[0.3, 0.4, 0.3]"
black_pablo1,"old men start war, it's youths who die fighting #maandamanothursdays",MaandamanoThursdays,"[0.8, 0.09999999999999995, 0.1]"
Kipchumba786,"you don't take disciplinary action against this rogue officer who constantly baying innocent blood, then you sold soul this nation devil. #maandamanothursdays",MaandamanoThursdays,"[0.8, 0.09999999999999995, 0.1]"
Itumbiparody,inspector general police japhet koome recall this police missing target saving from these maandamanos. now another #maandamanomondays,MaandamanoMondays,"[0.3, 0.4, 0.3]"
joncaleaf1,"not colonized our fellow countrymen!... our constitution allows picketing freedom expression, one take away that freedom from kenyan citizens! #maandamanothursdays #maandamanomondays ✊✊✊.",MaandamanoThursdays MaandamanoMondays,"[0.3, 0.4, 0.3]"
cynthiamutere,"appears that many tools repression which articulated under colonialism, then refined new ruling class following independence, still being used consolidate state against azmio #maandamanothursdays",MaandamanoThursdays,"[0.2, 0.10000000000000009, 0.7]"
geeradioke,"press conference karen, opposition chief claimed his car shot seven times live bullets what believes direct attempt kill him. #maandamanothursdays #raila #railaodinga #assassination",MaandamanoThursdays Raila RailaOdinga Assassination,"[0.8, 0.09999999999999995, 0.1]"
DennisOtachy,absolutely madness this ain’t right way treat journalists who doing their work. #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
alex_0962,"people only retire after passing on. long there contribution can still make 🇰🇪, #railaodinga keep current govt check! you either deliver quit #kenyans suffering.",RailaOdinga Kenyans,"[0.3, 0.4, 0.3]"
IvanWanjiku_M,"urge residents siaya, homabay, migori kisumu burn everything, hii unga lazima ishuke. support you behind keyboard. you're our heroes. chomeni hata lake victoria #maandamanothursdays",MaandamanoThursdays,"[0.2, 0.10000000000000009, 0.7]"
Mutwiried,"even when demonstrator throws stones car windscreen anything that thing can replaced within hours you can't replace life""~ khelef khalifa director muhuri #maandamanothursdays #maandamanomondays #kutvprimetimenews",MaandamanoThursdays MaandamanoMondays kutvprimetimenews,"[0.2, 0.10000000000000009, 0.7]"
GachingJose,#maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
waza_news,"azimio protesters expected take streets today third time. irritates eyes, nose, throat, skin, resulting symptoms like tears, coughing, trouble breathing. #azimio #maandamanomondays #railaodinga #teargas",azimio MaandamanoMondays RailaOdinga teargas,"[0.8, 0.09999999999999995, 0.1]"
MohamedBamursal,"most hit economically #maandamanothursdays spearheaded those working/lower class pyramid. uber driver who drove somewhere decried how they unable make ends meet. they families feed, bills pay loan service",MaandamanoThursdays,"[0.3, 0.4, 0.3]"
JimmieiZmE,"hope this madness ends soon, #maandamanomondays",MaandamanoMondays,"[0.2, 0.10000000000000009, 0.7]"
Kisumu_lastborn,"aren't you confident enough own prowess,why cry foul that #azimio affiliates being bought,what does that say about you people,,,instead mobilizing anarchy see inhouse keeping spare #dearmwananchi",Azimio Dearmwananchi,"[0.8, 0.09999999999999995, 0.1]"
DJTASMANIA1,stop comparing raila's life useless things. #maandamanothursdays,MaandamanoThursdays,"[0.3, 0.4, 0.3]"
