username,lemmatized_text,extract_hashtags
HILLA254, ,MaandamanoThursdays
obareh,  police actually protect life protect property suppressing citizen,raila MaandamanoMondays
HarryGodfirst, ,Kenya MaandamanoThursdays
itsaguk,  Baba pure love even Nabii buy,Maandamano MaandamanoThursdays
ViralTeaKe,  antiriot police officer tumble fire teargas canister disperse protester along Outering Road,MaandamanoThursdays
IanSeli,  Luos burn building belonging fellow luo rent UDA Siaya,MaandamanoThursdays
ReimondKipkesio,  Majority protest thief rid wave achieve heinous objective,Azimio Maandamano
cokoth95,  mama mboga understand employee allocate share areby way manifesto Please usiwe kaongo kama mwingine,MaandamanoThursdays
DVanske,  Babu know well leader V8 safe mean poor wananchi ’ care many stupid follower die Babu shooter ’ care care baba government Na mtaumia kama Raila amenyamaza,Maandamano MaandamanoThursdays
Colloeog,  Ought find chemical pink liquid forcibly pour peaceful protestors Babu Owino Pwani University Narok,MaandamanoThursdays MaandamanoMondays Maandamano
HarryGodfirst, ,Kenya MaandamanoThursdays
jkroume_ke,  Protestors breach police barricade along Outering road force antiriot officer retreat,Maandamanothursdays
HarryGodfirst, ,Kenya MaandamanoThursdays
MoniSholoma,  Gachagua : Mimi ni mtoto ya mau mau Also Gachagua : || Pwani University || || Siaya || Pipeline || Imara Daima,MaandamanoThursdays Raila
Tasha_ke746,  Wow Love 🥳 Congratulations whoever played🥂🥂 deserve Turn notification free tip Thika Road Kisumu Bandits Malema Pwani University Babu Owino Eldoret RIP,MaandamanoThursdays Raila
PopularStories_,  Maandamano Demonstrators Oyugis disappear Police landcruiser broad daylight,MaandamanoThursdays
RobertAlai,  Hello gang,MaandamanoThursdays
iam_randiki,  power democracy hand people ongoing protest Kenya show citizen afraid demand accountability transparency government,KenyaProtests DateWithDestiny MaandamanoThursdays MaandamanoMondays
martine_caleb,  Kenya lack professional police force cognizant fact picketing constitutional right hurl teargas canister peacefully protest Kenyans unacceptableWhat happen Pipeline terrible,MaandamanoThursdays NTVNews
AzimioTv,  entire Azimio family grateful Residents Pipeline selflessly pour water highrise flat douse team intense teargas Mungu awabariki,MaandamanoThursdays
Mwakina_,  Guys peaceful today demonstrate picket peace see police officer Shame Ruto Gachagua,MaandamanoThursdays
litkenyanews,  Scary Watch : Video Pwani University Bus Seconds Crash Emerges Martha Karua Westlands Babu Owino Narok Maxine Wahome Trade CS Moses Kuria Gatundu Karen Kayole Winnie Odinga Runda Amber Ray William Ruto,azimio Raila
Sam_Lulli,  Jacaranda vijana walikua na kiu sana Sasa wanapigana wenyewe kwa wenyewe tu unaware Baba nolonger come,MaandamanoThursdays
CosnameTv1,  RIP Pwani university Comrades 14 people dead accident involve Pwani University bus matatu along NairobiNaivasha Highway,Raila JKLive MaandamanoThursdays Nairobi
